,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
0,0.3223,0.6098,0.1776,0.1118,0.0878,0.7649,0.5327,0.9514,0.4019,0.114
1,0.3237,0.6106,0.1797,0.1122,0.0886,0.7645,0.5331,0.9504,0.4006,0.1158
2,0.3266,0.6172,0.1817,0.1172,0.0921,0.7659,0.5343,0.9519,0.4101,0.1167
