,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
0,0.4834,0.6105,0.257,0.1351,0.1035,0.6448,0.5442,0.9206,0.5498,0.1677
1,0.4843,0.6104,0.2598,0.1396,0.107,0.6462,0.5456,0.9218,0.5561,0.1695
2,0.4839,0.6096,0.259,0.1343,0.1035,0.6444,0.5442,0.9187,0.5469,0.1697
