,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
0,0.7238,0.7671,0.649,0.3614,0.3614,0.6838,0.6807,0.7123,0.649,0.649
1,0.6932,0.7537,0.6306,0.3262,0.3262,0.6662,0.6632,0.6941,0.6288,0.6323
2,0.7266,0.7648,0.6384,0.3497,0.3496,0.6788,0.6744,0.7192,0.6476,0.6295
