,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
0,0.3547,0.644,0.1748,0.1772,0.1203,0.8053,0.5417,0.9799,0.562,0.1035
1,0.357,0.6501,0.1729,0.1777,0.1195,0.8056,0.5413,0.9807,0.5678,0.102
2,0.3557,0.6512,0.175,0.1788,0.1209,0.8056,0.5419,0.9803,0.5667,0.1035
