,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
0,0.4485,0.7387,0.2796,0.2438,0.1978,0.7974,0.5742,0.965,0.5882,0.1834
1,0.4478,0.7383,0.2658,0.2337,0.1864,0.7962,0.5693,0.9665,0.5837,0.1721
2,0.4469,0.738,0.2743,0.2395,0.1932,0.7968,0.5722,0.9654,0.5853,0.1791
