,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
0,0.4244,0.5806,0.3204,0.1325,0.1216,0.6601,0.5534,0.8619,0.4628,0.245
1,0.4231,0.5798,0.3093,0.1225,0.1117,0.6577,0.5489,0.8635,0.4547,0.2343
2,0.4231,0.5815,0.3123,0.1209,0.1109,0.656,0.5488,0.8587,0.4509,0.2388
