cell_line,mean_MSE,mean_RMSE,mean_MAE,mean_R2,mean_PCC,mean_SCC,std_MSE,std_RMSE,std_MAE,std_R2,std_PCC,std_SCC
OVCAR-4,55.7345,7.4645,4.9042,0.5572,0.7483,0.6399,1.9079,0.1279,0.1323,0.0151,0.01,0.016
OVCAR-5,73.4303,8.5676,5.5049,0.5106,0.7302,0.654,2.7686,0.1611,0.1098,0.0184,0.0119,0.0122
OVCAR-8,75.3141,8.676,6.0796,0.572,0.759,0.7258,3.5181,0.2034,0.1495,0.02,0.0126,0.0104
SK-OV-3,57.4176,7.5758,5.2405,0.5875,0.7768,0.6949,2.3704,0.1574,0.1153,0.017,0.0133,0.0131
