cell_line,mean_MSE,mean_RMSE,mean_MAE,mean_R2,mean_PCC,mean_SCC,std_MSE,std_RMSE,std_MAE,std_R2,std_PCC,std_SCC
SK-MEL-2,61.7673,7.8548,5.6001,0.7091,0.8477,0.7307,4.1048,0.2643,0.1514,0.0193,0.0093,0.0098
SK-MEL-28,64.1241,8.0055,5.3359,0.4701,0.7033,0.6163,3.0381,0.1909,0.1399,0.0251,0.0154,0.0154
SK-MEL-5,96.4055,9.8179,6.5371,0.4999,0.7111,0.665,2.4132,0.1227,0.1444,0.0125,0.0085,0.0117
UACC-257,40.038,6.3248,4.3516,0.5492,0.766,0.6293,2.3757,0.1864,0.1015,0.0267,0.0116,0.0179
