cell_line,mean_MSE,mean_RMSE,mean_MAE,mean_R2,mean_PCC,mean_SCC,std_MSE,std_RMSE,std_MAE,std_R2,std_PCC,std_SCC
A2058,84.0724,9.1689,7.0874,0.4856,0.6982,0.6377,1.1659,0.0637,0.0743,0.0071,0.0049,0.0063
G-361,79.1454,8.8959,6.7513,0.5228,0.7243,0.6972,1.6945,0.0949,0.0743,0.0102,0.0062,0.0063
IPC-298,61.6502,7.8511,6.1788,0.6394,0.8048,0.737,1.5764,0.1002,0.0856,0.0092,0.0051,0.0059
RVH-421,143.2565,11.9686,9.1188,0.4558,0.6763,0.6405,2.2354,0.0935,0.0911,0.0085,0.0066,0.0083
SK-MEL-2,85.9386,9.2699,7.042,0.5324,0.7307,0.6557,1.6458,0.0888,0.0952,0.009,0.0058,0.0079
SK-MEL-28,106.5479,10.3217,8.0278,0.6425,0.8032,0.7972,2.1755,0.105,0.1028,0.0073,0.0039,0.0037
SK-MEL-5,84.123,9.171,7.0765,0.4955,0.7078,0.6785,2.2656,0.1228,0.0968,0.0136,0.008,0.0079
UACC-257,75.6422,8.6969,6.7817,0.3751,0.6203,0.5959,1.3113,0.0753,0.0865,0.0108,0.0079,0.0083
