cell_line,mean_MSE,mean_RMSE,mean_MAE,mean_R2,mean_PCC,mean_SCC,std_MSE,std_RMSE,std_MAE,std_R2,std_PCC,std_SCC
OVCAR-4,75.7772,8.705,6.124,0.3979,0.6536,0.5614,0.4672,0.0268,0.0118,0.0037,0.0042,0.0024
OVCAR-5,107.3078,10.3589,7.1676,0.2849,0.5695,0.4398,0.5455,0.0263,0.0164,0.0036,0.005,0.0048
OVCAR-8,128.8618,11.3517,8.1508,0.2677,0.5871,0.5383,0.3601,0.0158,0.006,0.002,0.0007,0.0005
SK-OV-3,91.7656,9.5794,6.6556,0.3408,0.6215,0.5422,0.0778,0.0041,0.0098,0.0006,0.0021,0.0036
