cell_line,mean_MSE,mean_RMSE,mean_MAE,mean_R2,mean_PCC,mean_SCC,std_MSE,std_RMSE,std_MAE,std_R2,std_PCC,std_SCC
OVCAR-4,67.9143,8.2362,5.4253,0.4604,0.6965,0.5583,4.6764,0.2812,0.2157,0.0372,0.0225,0.0361
OVCAR-5,77.691,8.8091,5.8471,0.4822,0.6986,0.5826,5.4146,0.3006,0.1661,0.0361,0.0258,0.0222
OVCAR-8,86.7185,9.3078,6.4682,0.5072,0.7158,0.6862,5.3297,0.2872,0.2336,0.0303,0.019,0.0198
SK-OV-3,66.1096,8.1247,5.581,0.5251,0.7257,0.6329,5.135,0.3147,0.2418,0.0369,0.0255,0.0319
