cell_line,mean_MSE,mean_RMSE,mean_MAE,mean_R2,mean_PCC,mean_SCC,std_MSE,std_RMSE,std_MAE,std_R2,std_PCC,std_SCC
A549,125.324,11.1948,7.831,0.3125,0.5783,0.5243,0.3642,0.0163,0.0169,0.002,0.0019,0.0016
EKVX,82.0561,9.0585,5.9789,0.2434,0.532,0.3994,0.2334,0.0129,0.0046,0.0022,0.0039,0.0029
HOP-62,154.6841,12.4372,8.577,0.308,0.592,0.5751,0.4231,0.017,0.0116,0.0019,0.0033,0.0016
HOP-92,120.5108,10.9777,7.279,0.2984,0.5886,0.5205,0.3765,0.0172,0.0076,0.0022,0.0034,0.002
NCI-H226,102.9156,10.1447,6.8409,0.3126,0.5823,0.4992,0.191,0.0094,0.0136,0.0013,0.0015,0.0009
NCI-H460,121.5461,11.0248,8.377,0.3943,0.6684,0.5552,0.4402,0.02,0.003,0.0022,0.0014,0.0009
NCI-H522,106.846,10.3366,7.6399,0.3686,0.6413,0.4795,0.9192,0.0445,0.0312,0.0054,0.0051,0.0041
