cell_line,mean_MSE,mean_RMSE,mean_MAE,mean_R2,mean_PCC,mean_SCC,std_MSE,std_RMSE,std_MAE,std_R2,std_PCC,std_SCC
SK-MEL-2,86.4657,9.2928,6.5534,0.5928,0.7737,0.6594,6.1955,0.3304,0.2213,0.0292,0.0179,0.0215
SK-MEL-28,74.7171,8.64,5.743,0.3825,0.6341,0.5694,4.4696,0.258,0.1689,0.0369,0.0258,0.0265
SK-MEL-5,121.9684,11.0405,7.3919,0.3672,0.6163,0.5828,6.0788,0.2745,0.2025,0.0315,0.0243,0.0286
UACC-257,51.7664,7.1868,4.7787,0.4171,0.6714,0.5842,4.9989,0.3401,0.1832,0.0563,0.0297,0.0244
