cell_line,mean_MSE,mean_RMSE,mean_MAE,mean_R2,mean_PCC,mean_SCC,std_MSE,std_RMSE,std_MAE,std_R2,std_PCC,std_SCC
BT-549,65.4053,8.0839,5.3992,0.572,0.7572,0.683,3.8731,0.2353,0.1677,0.0253,0.0167,0.0207
MCF7,65.4868,8.0901,5.0068,0.4912,0.7067,0.6731,3.1013,0.1918,0.1115,0.0241,0.0193,0.0168
MDA-MB-231,71.7518,8.4674,5.6174,0.4674,0.6918,0.6009,3.9771,0.2355,0.1777,0.0295,0.0193,0.0268
MDA-MB-468,88.4624,9.4017,6.1998,0.597,0.7746,0.7037,4.9737,0.2662,0.1316,0.0227,0.0148,0.0137
