cell_line,mean_MSE,mean_RMSE,mean_MAE,mean_R2,mean_PCC,mean_SCC,std_MSE,std_RMSE,std_MAE,std_R2,std_PCC,std_SCC
SK-MEL-2,112.3834,10.6011,7.7761,0.4707,0.7408,0.5914,0.2971,0.014,0.0219,0.0014,0.0017,0.0048
SK-MEL-28,82.3424,9.0742,6.1901,0.3195,0.5806,0.5119,0.5999,0.033,0.0152,0.005,0.005,0.0027
SK-MEL-5,142.6204,11.9424,8.0761,0.2601,0.554,0.4868,0.0246,0.001,0.004,0.0001,0.0013,0.0026
UACC-257,62.6881,7.9176,5.6958,0.2941,0.5512,0.4651,0.1601,0.0101,0.0065,0.0018,0.002,0.0038
