cell_line,mean_MSE,mean_RMSE,mean_MAE,mean_R2,mean_PCC,mean_SCC,std_MSE,std_RMSE,std_MAE,std_R2,std_PCC,std_SCC
OVCAR-4,58.2072,7.6262,4.7503,0.5375,0.7491,0.6795,3.4033,0.2208,0.1499,0.027,0.0107,0.0206
OVCAR-5,77.9433,8.8263,5.5295,0.4805,0.6952,0.643,3.5222,0.1986,0.0963,0.0235,0.0167,0.0153
OVCAR-8,83.0532,9.1083,6.0003,0.528,0.7356,0.7374,5.5926,0.3033,0.2272,0.0318,0.0171,0.0122
SK-OV-3,52.5594,7.246,4.8423,0.6224,0.7904,0.7275,3.3975,0.2335,0.1938,0.0244,0.0155,0.0192
