cell_line,mean_MSE,mean_RMSE,mean_MAE,mean_R2,mean_PCC,mean_SCC,std_MSE,std_RMSE,std_MAE,std_R2,std_PCC,std_SCC
OVCAR-4,53.3422,7.3003,4.5227,0.5762,0.7761,0.6785,3.258,0.2198,0.1459,0.0259,0.0081,0.0143
OVCAR-5,67.2578,8.1978,5.1589,0.5518,0.7449,0.6791,3.7832,0.231,0.1339,0.0252,0.0171,0.018
OVCAR-8,72.2968,8.4998,5.6912,0.5892,0.7726,0.7456,3.7896,0.2232,0.1178,0.0215,0.0114,0.007
SK-OV-3,49.7463,7.0522,4.7747,0.6426,0.803,0.7247,1.6081,0.1146,0.0705,0.0115,0.0067,0.0089
