cell_line,mean_MSE,mean_RMSE,mean_MAE,mean_R2,mean_PCC,mean_SCC,std_MSE,std_RMSE,std_MAE,std_R2,std_PCC,std_SCC
SK-MEL-2,71.2033,8.4359,6.1439,0.6646,0.8176,0.6924,3.3372,0.1983,0.1506,0.0157,0.0094,0.0164
SK-MEL-28,65.8874,8.1157,5.5515,0.4555,0.6804,0.601,2.4392,0.1496,0.1629,0.0202,0.0155,0.0225
SK-MEL-5,104.3312,10.2126,6.9141,0.4587,0.6804,0.6291,3.7997,0.1865,0.1722,0.0197,0.0144,0.014
UACC-257,45.8295,6.7625,4.6743,0.4839,0.7149,0.6012,4.3131,0.3121,0.1786,0.0486,0.0221,0.0255
