cell_line,mean_MSE,mean_RMSE,mean_MAE,mean_R2,mean_PCC,mean_SCC,std_MSE,std_RMSE,std_MAE,std_R2,std_PCC,std_SCC
SK-MEL-2,64.9492,8.0355,5.6901,0.6941,0.8341,0.7386,10.7172,0.6163,0.494,0.0505,0.0303,0.0327
SK-MEL-28,63.8453,7.9856,5.1634,0.4724,0.6998,0.6634,4.295,0.2737,0.2254,0.0355,0.0212,0.0263
SK-MEL-5,102.6337,10.1257,6.4697,0.4675,0.69,0.6713,6.6335,0.3236,0.282,0.0344,0.0228,0.0262
UACC-257,42.5804,6.5128,4.1238,0.5205,0.7552,0.6921,5.4962,0.4057,0.3191,0.0619,0.0313,0.0418
