cell_line,mean_MSE,mean_RMSE,mean_MAE,mean_R2,mean_PCC,mean_SCC,std_MSE,std_RMSE,std_MAE,std_R2,std_PCC,std_SCC
BT-549,57.0733,7.5507,4.867,0.6265,0.7946,0.7438,3.6553,0.2454,0.1297,0.0239,0.0141,0.0097
MCF7,55.9816,7.4796,4.5696,0.5651,0.7546,0.7307,2.8997,0.1939,0.0869,0.0225,0.0139,0.0108
MDA-MB-231,63.2935,7.9524,5.0917,0.5302,0.7392,0.6884,3.697,0.2313,0.1256,0.0274,0.016,0.0152
MDA-MB-468,72.9037,8.5372,5.5129,0.6679,0.8189,0.7636,2.4658,0.1441,0.133,0.0112,0.0062,0.0113
