cell_line,mean_MSE,mean_RMSE,mean_MAE,mean_R2,mean_PCC,mean_SCC,std_MSE,std_RMSE,std_MAE,std_R2,std_PCC,std_SCC
BT-549,69.355,8.3213,5.4489,0.5461,0.7479,0.6699,5.5614,0.3338,0.1996,0.0364,0.0243,0.0259
MCF7,68.1664,8.2528,5.1212,0.4704,0.6898,0.658,4.0214,0.2416,0.1505,0.0312,0.0228,0.0209
MDA-MB-231,75.6558,8.6921,5.7393,0.4385,0.6778,0.593,5.6026,0.3207,0.1777,0.0416,0.0295,0.0192
MDA-MB-468,92.1553,9.5938,6.2877,0.5802,0.7656,0.6984,6.5187,0.3394,0.2376,0.0297,0.0198,0.0136
