cell_line,mean_MSE,mean_RMSE,mean_MAE,mean_R2,mean_PCC,mean_SCC,std_MSE,std_RMSE,std_MAE,std_R2,std_PCC,std_SCC
BT-549,94.3621,9.714,6.9217,0.3825,0.655,0.5495,0.3909,0.0202,0.0099,0.0025,0.0033,0.002
MCF7,80.3086,8.9614,6.0408,0.3761,0.6495,0.5526,0.5731,0.032,0.0208,0.0044,0.0047,0.0039
MDA-MB-231,91.8474,9.5837,6.6888,0.3183,0.5776,0.4729,0.2131,0.0111,0.0067,0.0016,0.0016,0.0006
MDA-MB-468,157.2931,12.5416,8.6466,0.2835,0.5595,0.5754,0.6289,0.0251,0.0091,0.0029,0.0035,0.0014
