cell_line,mean_MSE,mean_RMSE,mean_MAE,mean_R2,mean_PCC,mean_SCC,std_MSE,std_RMSE,std_MAE,std_R2,std_PCC,std_SCC
OVCAR-4,63.7474,7.9816,4.9322,0.4935,0.7402,0.6495,3.2478,0.2031,0.1553,0.0258,0.011,0.0197
OVCAR-5,73.9144,8.5934,5.5279,0.5074,0.7154,0.6286,4.4669,0.2594,0.1245,0.0298,0.0191,0.0152
OVCAR-8,84.0532,9.1646,6.1754,0.5224,0.7363,0.7195,4.6119,0.2505,0.1463,0.0262,0.0156,0.012
SK-OV-3,56.5875,7.5211,5.0642,0.5935,0.7736,0.7017,2.1814,0.1449,0.1128,0.0157,0.0096,0.0116
