cell_line,mean_MSE,mean_RMSE,mean_MAE,mean_R2,mean_PCC,mean_SCC,std_MSE,std_RMSE,std_MAE,std_R2,std_PCC,std_SCC
A2058,68.2686,8.2624,6.0827,0.6718,0.8377,0.7104,0.5098,0.0308,0.0192,0.0025,0.001,0.0031
A2780,73.7073,8.5849,5.8846,0.5646,0.752,0.691,1.2744,0.0743,0.0667,0.0075,0.005,0.005
A427,47.5644,6.8965,4.7736,0.656,0.8424,0.7905,0.6157,0.0446,0.0086,0.0044,0.0026,0.0019
NCI-H460,84.0033,9.1652,6.1992,0.5901,0.7866,0.6268,0.8738,0.0478,0.0232,0.0043,0.0035,0.0024
RKO,103.4239,10.1695,6.7785,0.6212,0.8042,0.6983,1.3277,0.0654,0.0333,0.0049,0.0031,0.0022
SK-OV-3,167.415,12.9386,8.3172,0.4695,0.7055,0.6225,2.508,0.0969,0.046,0.0079,0.0058,0.0014
SW837,185.9298,13.6356,8.8269,0.4462,0.6808,0.6326,0.7042,0.0259,0.0309,0.0021,0.0017,0.0019
