cell_line,mean_MSE,mean_RMSE,mean_MAE,mean_R2,mean_PCC,mean_SCC,std_MSE,std_RMSE,std_MAE,std_R2,std_PCC,std_SCC
A2058,83.9681,9.163,7.089,0.4863,0.702,0.6472,1.6418,0.0887,0.0846,0.0101,0.0058,0.0074
G-361,77.2808,8.7906,6.6923,0.5341,0.7352,0.7093,1.3309,0.0759,0.0612,0.008,0.0055,0.0052
IPC-298,57.2152,7.563,5.9485,0.6654,0.8174,0.7504,1.9052,0.1264,0.0878,0.0111,0.0068,0.0083
RVH-421,147.5413,12.1454,9.2953,0.4396,0.6678,0.6342,4.2427,0.1733,0.1395,0.0161,0.009,0.0113
SK-MEL-2,83.433,9.1335,6.9793,0.546,0.7413,0.6707,1.9715,0.1078,0.0791,0.0107,0.0066,0.0067
SK-MEL-28,108.6575,10.4233,8.1254,0.6354,0.7999,0.7926,2.3785,0.1142,0.1033,0.008,0.0048,0.0052
SK-MEL-5,81.1784,9.0094,6.9862,0.5131,0.7199,0.685,1.6692,0.0927,0.0979,0.01,0.0066,0.0071
UACC-257,75.7363,8.7024,6.7888,0.3743,0.6271,0.5997,1.1475,0.0657,0.0522,0.0095,0.0071,0.0066
