cell_line,mean_AUCPR,mean_AUROC,mean_F1,mean_MCC,mean_Kappa,mean_Accuracy,mean_Balanced_Accuracy,mean_Specificity,mean_Precision,mean_Recall,std_AUCPR,std_AUROC,std_F1,std_MCC,std_Kappa,std_Accuracy,std_Balanced_Accuracy,std_Specificity,std_Precision,std_Recall
BT-549,0.5521,0.7939,0.4464,0.3689,0.3444,0.8101,0.6443,0.9436,0.6389,0.345,0.0279,0.0116,0.0418,0.0425,0.0435,0.0106,0.0207,0.011,0.0474,0.0437
MCF7,0.5483,0.809,0.446,0.355,0.3414,0.8142,0.6478,0.9304,0.5775,0.3652,0.0174,0.0088,0.0281,0.0259,0.0278,0.007,0.0148,0.0116,0.0293,0.036
MDA-MB-231,0.4943,0.7549,0.4143,0.3199,0.3049,0.803,0.6316,0.9257,0.5501,0.3376,0.0364,0.0174,0.0482,0.0454,0.0473,0.012,0.0248,0.0203,0.0541,0.0609
MDA-MB-468,0.664,0.7965,0.5132,0.4274,0.3931,0.7866,0.6691,0.9449,0.7472,0.3932,0.0163,0.008,0.0253,0.0239,0.0238,0.0082,0.0122,0.0169,0.0483,0.0341
