cell_line,mean_AUCPR,mean_AUROC,mean_F1,mean_MCC,mean_Kappa,mean_Accuracy,mean_Balanced_Accuracy,mean_Specificity,mean_Precision,mean_Recall,std_AUCPR,std_AUROC,std_F1,std_MCC,std_Kappa,std_Accuracy,std_Balanced_Accuracy,std_Specificity,std_Precision,std_Recall
A549,0.4994,0.7826,0.3282,0.2886,0.2481,0.8123,0.5982,0.9616,0.608,0.2348,0.0548,0.0257,0.1051,0.0792,0.0936,0.012,0.0442,0.0155,0.0417,0.1015
EKVX,0.4595,0.7023,0.3613,0.2684,0.2451,0.7744,0.6021,0.9314,0.5522,0.2727,0.0268,0.0218,0.0644,0.0521,0.0576,0.0098,0.0278,0.0147,0.0373,0.0664
HOP-62,0.4734,0.7715,0.3349,0.3058,0.2595,0.8226,0.5993,0.9682,0.6401,0.2305,0.025,0.0135,0.0661,0.0516,0.0598,0.0081,0.0271,0.0087,0.0411,0.0605
HOP-92,0.464,0.7582,0.2952,0.2291,0.1942,0.7742,0.5763,0.9485,0.5517,0.2042,0.0177,0.0085,0.0442,0.0286,0.0335,0.0058,0.0151,0.013,0.0364,0.0401
NCI-H226,0.5393,0.7598,0.3737,0.2974,0.2647,0.7808,0.6077,0.9444,0.6106,0.2709,0.0277,0.0171,0.0444,0.0417,0.0433,0.01,0.0201,0.0102,0.0434,0.0435
NCI-H460,0.4136,0.7335,0.2726,0.1862,0.1649,0.7735,0.5663,0.9349,0.4588,0.1977,0.028,0.0181,0.0585,0.0483,0.0503,0.0088,0.0231,0.0159,0.0502,0.0568
NCI-H522,0.4554,0.7304,0.3899,0.2649,0.2535,0.7626,0.6113,0.9027,0.5093,0.3198,0.0194,0.0122,0.0537,0.0426,0.0471,0.0099,0.0234,0.0181,0.0296,0.0588
