cell_line,mean_AUCPR,mean_AUROC,mean_F1,mean_MCC,mean_Kappa,mean_Accuracy,mean_Balanced_Accuracy,mean_Specificity,mean_Precision,mean_Recall,std_AUCPR,std_AUROC,std_F1,std_MCC,std_Kappa,std_Accuracy,std_Balanced_Accuracy,std_Specificity,std_Precision,std_Recall
OVCAR-4,0.4198,0.7103,0.2496,0.244,0.1859,0.8125,0.5683,0.9753,0.6397,0.1612,0.029,0.0123,0.0806,0.0582,0.0638,0.0076,0.0257,0.0129,0.0867,0.0608
OVCAR-5,0.3844,0.6597,0.2074,0.1787,0.1318,0.7741,0.549,0.9665,0.5523,0.1316,0.027,0.0207,0.0618,0.0404,0.0429,0.0058,0.0172,0.0142,0.0759,0.0458
OVCAR-8,0.48,0.7413,0.2832,0.2857,0.2221,0.8243,0.5813,0.9795,0.6889,0.1831,0.0389,0.016,0.0833,0.065,0.0695,0.0084,0.0274,0.0089,0.0656,0.0609
SK-OV-3,0.4532,0.7238,0.251,0.2261,0.1753,0.7844,0.5663,0.9691,0.6035,0.1635,0.0263,0.0166,0.0874,0.0657,0.068,0.0083,0.0278,0.0125,0.0566,0.0661
