cell_line,mean_AUCPR,mean_AUROC,mean_F1,mean_MCC,mean_Kappa,mean_Accuracy,mean_Balanced_Accuracy,mean_Specificity,mean_Precision,mean_Recall,std_AUCPR,std_AUROC,std_F1,std_MCC,std_Kappa,std_Accuracy,std_Balanced_Accuracy,std_Specificity,std_Precision,std_Recall
A2058,0.7475,0.8114,0.6593,0.4212,0.4189,0.7175,0.7129,0.7351,0.6325,0.6907,0.0348,0.0244,0.0371,0.0586,0.0584,0.0279,0.0301,0.0366,0.0344,0.0556
A2780,0.9258,0.8723,0.8484,0.5232,0.5151,0.7917,0.7501,0.6222,0.8235,0.878,0.0152,0.0088,0.0139,0.0669,0.0723,0.024,0.0446,0.1157,0.0414,0.035
A427,0.7946,0.8422,0.7023,0.4904,0.4863,0.7488,0.7416,0.8042,0.7344,0.6789,0.0283,0.0187,0.0481,0.0618,0.063,0.0287,0.0335,0.0394,0.031,0.086
NCI-H460,0.6977,0.7373,0.5616,0.3288,0.3185,0.6802,0.6537,0.8122,0.6588,0.4952,0.0388,0.0357,0.0406,0.0521,0.0502,0.0241,0.0244,0.0544,0.0507,0.064
RKO,0.4992,0.7333,0.4746,0.2873,0.2845,0.719,0.6446,0.8034,0.4731,0.4857,0.0282,0.0216,0.0649,0.0759,0.0748,0.0274,0.0426,0.0462,0.0502,0.106
SK-OV-3,0.7585,0.7746,0.6773,0.4122,0.4095,0.7071,0.7046,0.7346,0.6858,0.6744,0.0074,0.0122,0.0238,0.0364,0.0366,0.019,0.0179,0.0607,0.037,0.0576
SW837,0.5673,0.7706,0.6267,0.4133,0.4104,0.7252,0.7079,0.7683,0.6131,0.6476,0.023,0.0146,0.0267,0.0394,0.0409,0.0234,0.0199,0.0546,0.0414,0.0596
