cell_line,mean_AUCPR,mean_AUROC,mean_F1,mean_MCC,mean_Kappa,mean_Accuracy,mean_Balanced_Accuracy,mean_Specificity,mean_Precision,mean_Recall,std_AUCPR,std_AUROC,std_F1,std_MCC,std_Kappa,std_Accuracy,std_Balanced_Accuracy,std_Specificity,std_Precision,std_Recall
BT-549,0.5949,0.8062,0.4808,0.4092,0.3834,0.8206,0.661,0.9491,0.6799,0.373,0.0143,0.0088,0.0203,0.0201,0.0207,0.0058,0.0104,0.009,0.0307,0.0247
MCF7,0.5507,0.8031,0.4307,0.331,0.3203,0.8064,0.6398,0.9228,0.5451,0.3567,0.016,0.0092,0.0197,0.0207,0.0209,0.0058,0.0105,0.0078,0.0227,0.0235
MDA-MB-231,0.4693,0.7643,0.4294,0.3258,0.3155,0.8016,0.639,0.918,0.5382,0.36,0.0146,0.0075,0.033,0.0293,0.0318,0.0075,0.0183,0.0142,0.0277,0.0461
MDA-MB-468,0.6707,0.8047,0.5326,0.431,0.4066,0.7871,0.6783,0.9336,0.7204,0.4229,0.008,0.0058,0.0165,0.0222,0.0203,0.0077,0.009,0.0097,0.0291,0.0172
