cell_line,mean_AUCPR,mean_AUROC,mean_F1,mean_MCC,mean_Kappa,mean_Accuracy,mean_Balanced_Accuracy,mean_Specificity,mean_Precision,mean_Recall,std_AUCPR,std_AUROC,std_F1,std_MCC,std_Kappa,std_Accuracy,std_Balanced_Accuracy,std_Specificity,std_Precision,std_Recall
A549,0.482,0.7777,0.395,0.3067,0.2892,0.8039,0.6234,0.9299,0.5448,0.3169,0.0255,0.0152,0.0541,0.0394,0.0459,0.0102,0.0245,0.0231,0.0415,0.0666
EKVX,0.452,0.7317,0.3692,0.249,0.2348,0.7605,0.602,0.9051,0.5019,0.2989,0.0188,0.0097,0.0457,0.0302,0.0343,0.0108,0.0197,0.0305,0.0354,0.0656
HOP-62,0.4627,0.7667,0.4199,0.3344,0.3192,0.8162,0.6371,0.9329,0.5587,0.3414,0.0218,0.0087,0.0471,0.0334,0.0411,0.0058,0.023,0.0145,0.0307,0.0581
HOP-92,0.46,0.7365,0.3434,0.2386,0.2203,0.7675,0.5923,0.9218,0.5067,0.2629,0.0148,0.0116,0.0537,0.0479,0.0499,0.0106,0.0237,0.0153,0.0462,0.0557
NCI-H226,0.5815,0.773,0.4879,0.4049,0.3793,0.8048,0.6629,0.939,0.6804,0.3867,0.0154,0.0109,0.0428,0.031,0.0371,0.0098,0.0208,0.0237,0.055,0.0594
NCI-H460,0.4542,0.717,0.3523,0.2633,0.2414,0.7864,0.5998,0.9319,0.5312,0.2676,0.0145,0.0092,0.0337,0.0237,0.0257,0.0078,0.0139,0.0186,0.0465,0.0425
NCI-H522,0.4658,0.7262,0.4057,0.2781,0.2671,0.7635,0.6188,0.8974,0.5167,0.3401,0.0196,0.0071,0.0438,0.0321,0.0364,0.011,0.0202,0.0263,0.0359,0.0599
