cell_line,mean_AUCPR,mean_AUROC,mean_F1,mean_MCC,mean_Kappa,mean_Accuracy,mean_Balanced_Accuracy,mean_Specificity,mean_Precision,mean_Recall,std_AUCPR,std_AUROC,std_F1,std_MCC,std_Kappa,std_Accuracy,std_Balanced_Accuracy,std_Specificity,std_Precision,std_Recall
SK-MEL-2,0.5024,0.7984,0.3722,0.2951,0.2696,0.7974,0.6105,0.9426,0.5728,0.2784,0.0273,0.0119,0.0619,0.0571,0.0599,0.0115,0.0276,0.0102,0.0514,0.0595
SK-MEL-28,0.3991,0.7604,0.1586,0.1604,0.1087,0.8147,0.5375,0.9803,0.5278,0.0947,0.0142,0.01,0.0454,0.0405,0.0357,0.0043,0.0131,0.0068,0.0735,0.0305
SK-MEL-5,0.3897,0.7768,0.1831,0.1654,0.1255,0.8294,0.5444,0.9726,0.4707,0.1162,0.0174,0.0064,0.0453,0.0412,0.0375,0.0066,0.015,0.0108,0.0849,0.0362
UACC-257,0.5195,0.7869,0.3528,0.2994,0.2592,0.7962,0.6025,0.9567,0.628,0.2483,0.0196,0.0117,0.0526,0.0389,0.045,0.0069,0.0208,0.0111,0.0352,0.05
