cell_line,mean_AUCPR,mean_AUROC,mean_F1,mean_MCC,mean_Kappa,mean_Accuracy,mean_Balanced_Accuracy,mean_Specificity,mean_Precision,mean_Recall,std_AUCPR,std_AUROC,std_F1,std_MCC,std_Kappa,std_Accuracy,std_Balanced_Accuracy,std_Specificity,std_Precision,std_Recall
A2058,0.8351,0.8843,0.7492,0.5709,0.5661,0.7873,0.7895,0.779,0.7067,0.8,0.0461,0.0288,0.045,0.0794,0.0794,0.0397,0.0398,0.0507,0.053,0.0566
A2780,0.9235,0.8655,0.8389,0.518,0.5147,0.785,0.7554,0.6642,0.8334,0.8465,0.0141,0.0219,0.0222,0.0653,0.0649,0.0282,0.0346,0.0782,0.0299,0.0429
A427,0.7632,0.8408,0.7295,0.5052,0.5024,0.7527,0.7531,0.75,0.7073,0.7561,0.0504,0.0287,0.0451,0.0813,0.0814,0.0406,0.041,0.0554,0.0474,0.0634
NCI-H460,0.7343,0.7853,0.5833,0.3719,0.3597,0.7008,0.6733,0.8381,0.6936,0.5086,0.0252,0.02,0.0481,0.0392,0.045,0.0173,0.0239,0.0337,0.0248,0.0724
RKO,0.5219,0.7291,0.4634,0.255,0.2519,0.6937,0.6324,0.7632,0.4367,0.5016,0.0229,0.0149,0.0332,0.0356,0.0346,0.0203,0.0214,0.0447,0.0281,0.0714
SK-OV-3,0.6688,0.7643,0.6482,0.3599,0.3577,0.6816,0.6788,0.7111,0.6547,0.6465,0.0479,0.0261,0.0419,0.0566,0.0568,0.027,0.0291,0.0493,0.0296,0.0751
SW837,0.5541,0.7619,0.6179,0.376,0.3672,0.6932,0.6945,0.69,0.556,0.6991,0.0307,0.0192,0.0392,0.0589,0.0538,0.0231,0.0315,0.0357,0.0246,0.0773
