cell_line,mean_AUCPR,mean_AUROC,mean_F1,mean_MCC,mean_Kappa,mean_Accuracy,mean_Balanced_Accuracy,mean_Specificity,mean_Precision,mean_Recall,std_AUCPR,std_AUROC,std_F1,std_MCC,std_Kappa,std_Accuracy,std_Balanced_Accuracy,std_Specificity,std_Precision,std_Recall
A2058,0.7067,0.7735,0.6299,0.3646,0.3618,0.6878,0.6851,0.6982,0.5938,0.672,0.0347,0.0235,0.0395,0.0598,0.0584,0.0264,0.0308,0.0233,0.0289,0.0588
A2780,0.9254,0.8673,0.7165,0.5006,0.4353,0.6992,0.759,0.9432,0.9527,0.5748,0.0116,0.0207,0.0223,0.0314,0.0314,0.0191,0.017,0.0266,0.0202,0.0291
A427,0.7596,0.8179,0.6848,0.4415,0.4407,0.7248,0.7199,0.7625,0.694,0.6772,0.0303,0.0154,0.0272,0.0468,0.0467,0.0231,0.0233,0.0339,0.031,0.0378
NCI-H460,0.6935,0.7477,0.5928,0.3205,0.3193,0.6723,0.6581,0.7429,0.6155,0.5733,0.0344,0.0299,0.034,0.0561,0.0558,0.0274,0.0276,0.0378,0.0379,0.0423
RKO,0.4761,0.7153,0.5047,0.2854,0.2731,0.6709,0.6574,0.6862,0.4229,0.6286,0.0372,0.0223,0.0344,0.0563,0.0572,0.0346,0.0298,0.0451,0.0384,0.0397
SK-OV-3,0.7713,0.78,0.6857,0.3965,0.3927,0.6958,0.6982,0.6693,0.6507,0.7271,0.0197,0.0137,0.0347,0.0641,0.0633,0.0317,0.032,0.0495,0.0339,0.056
SW837,0.5663,0.7717,0.6537,0.4371,0.4306,0.7259,0.7258,0.7259,0.5958,0.7257,0.022,0.0163,0.0314,0.0499,0.049,0.0235,0.0262,0.0298,0.0281,0.0487
