cell_line,mean_AUCPR,mean_AUROC,mean_F1,mean_MCC,mean_Kappa,mean_Accuracy,mean_Balanced_Accuracy,mean_Specificity,mean_Precision,mean_Recall,std_AUCPR,std_AUROC,std_F1,std_MCC,std_Kappa,std_Accuracy,std_Balanced_Accuracy,std_Specificity,std_Precision,std_Recall
A2058,0.8324,0.8729,0.7388,0.5471,0.5389,0.7714,0.7786,0.7439,0.6783,0.8133,0.0224,0.0163,0.0321,0.0584,0.06,0.0311,0.0295,0.0466,0.0407,0.0404
A2780,0.906,0.8437,0.8193,0.4501,0.4446,0.7567,0.7194,0.6049,0.8091,0.834,0.0163,0.0169,0.0187,0.0705,0.0699,0.0258,0.0415,0.1113,0.0418,0.0473
A427,0.8656,0.8946,0.7869,0.6097,0.6059,0.8039,0.8057,0.7903,0.758,0.8211,0.0256,0.0196,0.0367,0.0661,0.0656,0.0326,0.0331,0.0478,0.0427,0.057
NCI-H460,0.7747,0.819,0.6215,0.4144,0.4051,0.7199,0.6967,0.8354,0.7095,0.5581,0.0239,0.0243,0.0529,0.0646,0.0669,0.0294,0.0347,0.0369,0.0421,0.0794
RKO,0.5318,0.7367,0.4895,0.2822,0.2777,0.6962,0.6493,0.7494,0.4454,0.5492,0.0353,0.0194,0.044,0.0626,0.0619,0.0314,0.0329,0.0462,0.0464,0.0693
SK-OV-3,0.7192,0.8078,0.7107,0.4645,0.4624,0.7326,0.7317,0.7425,0.7041,0.7209,0.0521,0.0215,0.0321,0.0521,0.0516,0.0254,0.0264,0.0458,0.0307,0.0606
SW837,0.6562,0.8014,0.6632,0.4558,0.4484,0.7347,0.7327,0.7397,0.6172,0.7257,0.0377,0.0187,0.039,0.0746,0.079,0.0461,0.035,0.0825,0.0719,0.0498
