cell_line,mean_AUCPR,mean_AUROC,mean_F1,mean_MCC,mean_Kappa,mean_Accuracy,mean_Balanced_Accuracy,mean_Specificity,mean_Precision,mean_Recall,std_AUCPR,std_AUROC,std_F1,std_MCC,std_Kappa,std_Accuracy,std_Balanced_Accuracy,std_Specificity,std_Precision,std_Recall
A549,0.5283,0.7958,0.4122,0.3461,0.3187,0.8183,0.6304,0.9494,0.6191,0.3115,0.0216,0.0052,0.0281,0.0247,0.026,0.0067,0.0139,0.0127,0.0424,0.0359
EKVX,0.5143,0.7388,0.4086,0.3162,0.2932,0.7853,0.623,0.9333,0.5946,0.3127,0.0219,0.0123,0.0423,0.0417,0.0429,0.0102,0.02,0.0093,0.0397,0.0421
HOP-62,0.5412,0.8011,0.4101,0.3444,0.3191,0.8236,0.6309,0.9492,0.6066,0.3126,0.0248,0.0091,0.0361,0.033,0.0348,0.0083,0.0174,0.0131,0.0476,0.0415
HOP-92,0.4793,0.7636,0.3539,0.2672,0.2411,0.7782,0.5983,0.9367,0.5584,0.26,0.0127,0.009,0.0261,0.027,0.026,0.0075,0.0113,0.0099,0.0367,0.0245
NCI-H226,0.6213,0.8011,0.4951,0.4072,0.3852,0.8057,0.6658,0.938,0.6729,0.3936,0.0157,0.0104,0.0287,0.0238,0.0273,0.0063,0.0153,0.0116,0.0292,0.0384
NCI-H460,0.4935,0.7741,0.3638,0.2815,0.257,0.7923,0.605,0.9383,0.5574,0.2718,0.0258,0.0084,0.0253,0.0286,0.0258,0.0089,0.0116,0.0137,0.0489,0.0278
NCI-H522,0.5082,0.7513,0.4176,0.3158,0.2964,0.7817,0.626,0.9258,0.5834,0.3262,0.018,0.0088,0.0226,0.0236,0.0233,0.0075,0.0109,0.0111,0.0308,0.0254
