cell_line,mean_AUCPR,mean_AUROC,mean_F1,mean_MCC,mean_Kappa,mean_Accuracy,mean_Balanced_Accuracy,mean_Specificity,mean_Precision,mean_Recall,std_AUCPR,std_AUROC,std_F1,std_MCC,std_Kappa,std_Accuracy,std_Balanced_Accuracy,std_Specificity,std_Precision,std_Recall
A549,0.4712,0.7429,0.3477,0.2894,0.2562,0.808,0.6018,0.9519,0.5859,0.2517,0.0277,0.0192,0.0423,0.0316,0.0353,0.008,0.0174,0.0158,0.0639,0.0456
EKVX,0.4707,0.7083,0.3498,0.2635,0.2361,0.7738,0.5971,0.9348,0.5603,0.2594,0.0263,0.0211,0.0485,0.0322,0.0385,0.0075,0.0205,0.0207,0.0384,0.0579
HOP-62,0.4934,0.7876,0.4084,0.3384,0.3156,0.8219,0.6303,0.9467,0.5922,0.3138,0.0321,0.0147,0.0465,0.0464,0.0471,0.0095,0.0224,0.0104,0.0509,0.0482
HOP-92,0.4664,0.7463,0.3187,0.242,0.2114,0.7743,0.5851,0.9409,0.5492,0.2293,0.0195,0.0131,0.0484,0.0244,0.0338,0.0045,0.0176,0.019,0.034,0.053
NCI-H226,0.5216,0.7513,0.3834,0.3031,0.2723,0.781,0.6119,0.9409,0.6103,0.2829,0.0166,0.0109,0.0443,0.0318,0.037,0.0079,0.0177,0.015,0.0412,0.0453
NCI-H460,0.4224,0.7416,0.2691,0.2066,0.1745,0.7827,0.5675,0.9505,0.5129,0.1846,0.0198,0.0094,0.0452,0.0371,0.0369,0.0073,0.0157,0.0127,0.049,0.0389
NCI-H522,0.4373,0.7314,0.3546,0.2505,0.2302,0.7656,0.5967,0.9219,0.5272,0.2714,0.0225,0.0102,0.0432,0.0278,0.033,0.0065,0.0176,0.0198,0.0306,0.0522
