,MSE,RMSE,MAE,R2,PCC,SCC
0,119.8243,10.9464,7.5915,0.3325,0.6081,0.5123
1,120.247,10.9657,7.613,0.3302,0.6059,0.5119
2,119.9594,10.9526,7.6083,0.3318,0.6075,0.5142
