,MSE,RMSE,MAE,R2,PCC,SCC
0,110.4336,10.5087,7.1996,0.3307,0.6041,0.5323
1,110.494,10.5116,7.2004,0.3304,0.6031,0.5344
2,110.424,10.5083,7.1915,0.3308,0.6047,0.5349
