,MSE,RMSE,MAE,R2,PCC,SCC
0,163.1957,12.7748,9.8289,0.2063,0.5303,0.4829
1,163.422,12.7837,9.8399,0.2052,0.5292,0.4806
2,163.7689,12.7972,9.8495,0.2035,0.5259,0.4745
