,MSE,RMSE,MAE,R2,PCC,SCC
0,101.8934,10.0942,6.9353,0.3456,0.6184,0.5162
1,101.789,10.0891,6.9372,0.3463,0.6186,0.5139
2,102.3137,10.115,6.9507,0.343,0.6155,0.5142
