,MSE,RMSE,MAE,R2,PCC,SCC
0,114.7549,10.7124,7.0789,0.5602,0.7582,0.7029
1,113.0084,10.6305,7.0369,0.5669,0.7639,0.7088
2,114.5474,10.7027,7.0711,0.561,0.7592,0.7019
