,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
0,0.8009,0.8428,0.7184,0.4974,0.4967,0.7517,0.7502,0.7605,0.6981,0.74
1,0.8025,0.8439,0.734,0.5252,0.5245,0.7654,0.7642,0.7725,0.7132,0.756
2,0.799,0.8402,0.7248,0.5082,0.5074,0.7568,0.7557,0.7635,0.703,0.748
