,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
0,0.3939,0.6562,0.2652,0.2032,0.1681,0.7724,0.5646,0.9519,0.5266,0.1772
1,0.4252,0.6874,0.3238,0.2471,0.2171,0.7781,0.5864,0.9436,0.5508,0.2293
2,0.3779,0.6383,0.1915,0.1625,0.1169,0.7709,0.5426,0.9681,0.5255,0.1171
