,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
0,0.3118,0.6225,0.1396,0.1017,0.0714,0.7758,0.5254,0.9667,0.4109,0.0841
1,0.3105,0.6224,0.1415,0.0975,0.0698,0.7741,0.525,0.9639,0.3972,0.0861
2,0.3111,0.6236,0.1442,0.0979,0.0709,0.7736,0.5255,0.9628,0.3955,0.0881
