,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
0,0.7445,0.8013,0.724,0.4707,0.4707,0.7358,0.7354,0.7443,0.7214,0.7266
1,0.738,0.799,0.7295,0.478,0.4779,0.7393,0.7392,0.741,0.7218,0.7374
2,0.7469,0.805,0.7363,0.4887,0.4885,0.7444,0.7446,0.741,0.7247,0.7482
