,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
0,0.6574,0.764,0.4761,0.3418,0.3057,0.7098,0.637,0.918,0.7186,0.356
1,0.6573,0.7634,0.4692,0.338,0.3002,0.7083,0.6342,0.9203,0.7199,0.348
2,0.656,0.7622,0.474,0.3459,0.307,0.7112,0.6371,0.9232,0.7289,0.3511
